,pdfsize,metadata size,page,objects,title characters,isEncrypted,embedded files,images,	header,obj,endobj,stream,endstrean,xref,trailer,startxref,pageno,encrypt,ObjStm,JS,Javascript,AA,OpenAction,Acroform,JBIG2Decode,RichMedia,launch,EmbeddedFile,XFA,Colors
21,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
22,17,258,1,10,7,0,0,0,	%PDF-11113,9,9,1,1,1,1,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,>,,
23,15,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
24,2,256,1,15,0,0,0,0,	%PDF-1.3,14,14,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,>,,
25,17,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
26,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
27,5,218,1,10,0,0,0,0,	%PDF-1.4,9,9,3,3,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,>,,
28,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
29,21,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
30,14,256,1,16,0,0,0,0,	%PDF-1.4,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,>,,
31,4,211,1,28,0,0,0,0,	%PDF-1.4,14,14,6,6,1,1,1,1,0,0,3,4,0,0,0,0,0,0,0,0,0,>,,
32,6,250,1,15,0,0,0,0,	%PDF-1.3,14,14,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,>,,
33,5,246,1,16,0,0,0,0,	%PDF-1.4,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,>,,
34,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
35,13,180,1,9,0,0,0,0,	%PDF-\x07.3,8,8,2,2,1,1,1,1,0,0,1(1),1,0,1,0,0,0,0,0,0,0,>,,
36,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
37,7,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
38,17,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
39,8,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
40,7,180,1,10,0,0,0,0,	%PDF-1.3,4,4,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
41,12,180,1,9,0,0,0,0,	%PDF-\x07.3,8,7,2,2,1,1,1,1,0,0,1(1),1,0,1,0,0,0,0,0,0,0,>,,
42,75,326,1,16,15,0,0,0,	%PDF-1.4,9,9,2,2,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,>,,
43,17,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
44,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
45,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
46,8,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
47,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
48,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
49,2,180,1,10,0,0,0,0,	%PDF-1.3,4,4,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
50,5,218,1,10,0,0,0,0,	%PDF-1.4,9,9,3,3,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,>,,
51,41,180,1,11,0,0,0,0,	%PDF-\x07.3,10,9,3,3,1,1,1,1,0,0,1(1),1,0,1,0,0,0,0,0,0,0,>,,
52,16,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
53,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
54,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
55,10,180,15,45,0,0,0,0,	%PDF-1.4,19,19,1,1,1,1,1,15,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
56,12,288,1,16,2,0,0,0,	%PDF-1.4,10,10,2,2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,>,,
57,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
58,14,224,0,20,7,0,0,0,	%PDF-1.6,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,>,,
59,76,351,1,16,16,0,0,0,	%PDF-1.4,9,9,2,2,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,>,,
60,15,224,0,20,7,0,0,0,	%PDF-1.6,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,>,,
61,4,229,1,10,0,0,0,0,	%PDF-1.4,9,9,3,3,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,>,,
62,7,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
63,3,180,1,10,0,0,0,0,	%PDF-1.3,4,4,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
64,130,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
65,8,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
66,1,180,1,111612,0,0,0,0,	%PDF-1.0,9,9,2,2,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,>,,
67,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
68,10,259,1,10,8,0,0,0,	%PDF-1.3,9,9,1,1,1,1,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,>,,
69,8,180,1,11,0,0,0,0,	%PDF-1.3,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
70,15,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
71,12,180,1,9,0,0,0,0,	%PDF-\x07.3,8,7,2,2,1,1,1,1,0,0,1(1),1,0,1,0,0,0,0,0,0,0,>,,
72,2,180,1,111612,0,0,0,0,	%PDF-1.0,9,9,2,2,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,>,,
73,7,180,1,10,0,0,0,0,	%PDF-1.3,4,4,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
74,6,250,1,15,0,0,0,0,	%PDF-1.3,14,14,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,>,,
75,15,224,0,20,7,0,0,0,	%PDF-1.6,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,>,,
76,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
77,3,180,0,8,0,0,0,0,	%PDF-1.4,4,4,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
78,17,373,8,27,10,0,0,0,	%PDF-1.3,26,26,9,9,1,1,1,8,0,0,1,2,0,1,0,0,0,0,0,0,0,>,,
79,7,180,1,17,0,0,0,0,	%PDF-\x07.3,9,10,5,5,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
80,17,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
81,12,180,1,9,0,0,0,0,	%PDF-\x07.3,8,7,2,2,1,1,1,1,0,0,1(1),1,0,1,0,0,0,0,0,0,0,>,,
82,1,180,1,111714,0,0,0,0,	%PDF-1.0,11,11,3,3,0,1,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,>,,
83,7,180,1,11,0,0,0,0,	%PDF-1.3,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
84,12,180,1,9,0,0,0,0,	%PDF-\x07.3,8,7,2,2,1,1,1,1,0,0,1(1),1,0,1,0,0,0,0,0,0,0,>,,
85,1,180,1,111612,0,0,0,0,	%PDF-1.0,9,9,2,2,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,>,,
86,14,256,1,16,0,0,0,0,	%PDF-1.4,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,>,,
87,12,180,1,9,0,0,0,0,	%PDF-\x07.3,8,7,2,2,1,1,1,1,0,0,1(1),1,0,1,0,0,0,0,0,0,0,>,,
88,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
89,14,224,0,20,7,0,0,0,	%PDF-1.6,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,>,,
90,8,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
91,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
92,14,180,1,15,0,0,0,0,	%PDF-1.4,14,14,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,>,,
93,8,235,3,16,29,0,0,0,	%PDF-1.3,15,15,4,4,1,1,1,3,0,0,1,2,0,1,0,0,0,0,0,0,0,>,,
94,8,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
95,3,180,0,8,0,0,0,0,	%PDF-1.4,4,4,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
96,15,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
97,5,180,1,8,0,0,0,0,	%PDF-1.0,7,6,1,1,0,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,>,,
98,15,256,1,16,0,0,0,0,	%PDF-1.4,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,>,,
99,15,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
100,17,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
101,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
102,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
103,15,224,0,20,7,0,0,0,	%PDF-1.6,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,>,,
104,16,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
105,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
106,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
107,2,180,1,111612,0,0,0,0,	%PDF-1.0,9,9,2,2,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,>,,
108,8,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
109,10,180,22,36,0,0,0,0,	%PDF-1.4,26,26,1,1,1,1,1,22,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
110,7,239,1,10,8,0,0,0,	%PDF-1.3,9,9,1,1,1,1,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,>,,
111,17,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
112,7,212,1,9,3,0,0,0,	%PDF-1.4,8,8,2,2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,>,,
113,8,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
114,17,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
115,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
116,16,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
117,8,180,1,11,0,0,0,0,	%PDF-1.3,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
118,8,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
119,8,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
120,14,224,0,20,7,0,0,0,	%PDF-1.6,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,>,,
121,13,475,7,25,16,0,0,0,	%PDF-1.3,24,24,8,8,1,1,1,7,0,0,1,2,0,1,0,0,0,0,0,0,0,>,,
122,7,246,1,19,0,0,0,0,	%PDF-1.4,17,17,3,3,1,1,1,1,0,0,2,3,0,0,1,0,0,0,0,0,0,>,,
123,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
124,12,180,1,9,0,0,0,0,	%PDF-\x07.3,8,7,2,2,1,1,1,1,0,0,1(1),1,0,1,0,0,0,0,0,0,0,>,,
125,8,180,1,11,0,0,0,0,	%PDF-1.3,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
126,1,180,1,111612,0,0,0,0,	%PDF-1.0,9,9,2,2,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,>,,
127,15,371,1,16,16,0,0,0,	%PDF-1.4,9,9,2,2,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,>,,
128,138,257,1,104,8,0,0,0,	%PDF-1.6,299,299,62,62,46,46,24,23,0,1,149,149,23,0,0,0,0,0,0,0,0,>,,
129,1,180,1,111612,0,0,0,0,	%PDF-1.0,9,9,2,2,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,>,,
130,2,180,1,111612,0,0,0,0,	%PDF-1.0,9,9,2,2,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,>,,
131,8,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
132,6,211,1,18,0,0,0,0,	%PDF-1.4,12,12,5,5,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,>,,
133,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
134,1,180,1,111612,0,0,0,0,	%PDF-1.0,9,9,2,2,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,>,,
135,7,180,1,10,0,0,0,0,	%PDF-1.3,4,4,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
136,16,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
137,3,180,1,8,0,0,0,0,	%PDF-1.0,7,6,1,1,0,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,>,,
138,4,180,1,14,0,0,0,0,	%PDF-1.3,13,13,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,>,,
139,16,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
140,8,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
141,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
142,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
143,15,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
144,17,258,1,10,7,0,0,0,	%PDF-11113,9,9,1,1,1,1,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,>,,
145,51,308,5,21,2,0,0,0,	%PDF-1.3,20,20,1,1,1,1,1,5,0,0,1,2,0,1,0,0,0,0,0,0,0,>,,
146,4,180,1,14,0,0,0,0,	%PDF-1.3,13,13,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,>,,
147,16,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
148,17,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
149,8,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
150,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
151,15,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
152,15,224,0,20,7,0,0,0,	%PDF-1.6,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,>,,
153,16,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
154,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
155,6,256,1,16,0,0,0,0,	%PDF-1.4,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,>,,
156,12,180,1,9,0,0,0,0,	%PDF-\x07.3,8,7,2,2,1,1,1,1,0,0,1(1),1,0,1,0,0,0,0,0,0,0,>,,
157,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
158,8,180,1,11,0,0,0,0,	%PDF-1.3,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
159,14,371,1,16,16,0,0,0,	%PDF-1.4,9,9,2,2,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,>,,
160,15,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
161,250,180,1,9,0,0,0,0,	%PDF-1.1,8,8,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,>,,
162,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
163,14,256,1,16,0,0,0,0,	%PDF-1.4,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,>,,
164,89,331,5,204,43,0,0,0,	%PDF-1.4,100,100,38,38,16,16,9,12,0,2,16,16,7,0,0,0,0,0,0,0,0,>,,
165,11,224,0,20,7,0,0,0,	%PDF-1.6,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,>,,
166,30,256,1,16,0,0,0,0,	%PDF-1.4,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,>,,
167,4,180,1,14,0,0,0,0,	%PDF-1.3,13,13,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,>,,
168,9,180,1,9,0,0,0,0,	%PDF-\x07.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
169,17,263,1,10,13,0,0,0,	%PDF-1.3,9,9,1,1,1,1,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,>,,
170,8,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
171,95,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
172,1,180,1,111612,0,0,0,0,	%PDF-1.0,9,9,2,2,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,>,,
173,12,224,0,20,7,0,0,0,	%PDF-1.6,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,>,,
174,37,180,1,11,0,0,0,0,	%PDF-1.3,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
175,12,180,1,9,0,0,0,0,	%PDF-\x07.3,8,7,2,2,1,1,1,1,0,0,1(1),1,0,1,0,0,0,0,0,0,0,>,,
176,75,256,1,36,0,0,0,0,	%PDF-1.4,35,35,18,18,1,1,1,1,0,0,5,6,0,0,1,0,0,0,0,0,0,>,,
177,9,180,1,9,0,0,0,0,	%PDF-1.3,8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
178,14,224,0,20,7,0,0,0,	%PDF-1.6,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,>,,
179,18,262,1,10,13,0,0,0,	%PDF-1.3,9,9,1,1,1,1,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,>,,
180,8,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
181,8,180,1,10,0,0,0,0,	%PDF-1.3,9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,>,,
182,2,180,1,111612,0,0,0,0,	%PDF-1.0,9,9,2,2,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,>,,
183,77,316,1,16,16,0,0,0,	%PDF-1.4,9,9,2,2,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,>,,
